DATE,inflation,rate,money_supply,money_supply_pct_change
1996-07-01,3.087421545,5.4,3715.4,0.1676671171312738
1997-09-01,2.544804261,5.54,3957.2,0.22037870844384133
1997-12-01,2.621535622,5.5,4032.4,0.20737768728666373
1998-06-01,2.600204475,5.56,4156.3,0.24213263201936597
1999-02-01,2.316234,4.76,4384.7,0.2957917134582422
1999-03-01,2.237507,4.81,4423.5,0.30644732567411914
1999-11-01,2.147821,5.42,4576.8,0.34742544234109585
2000-05-01,2.558647,6.27,4738.0,0.3738908542596997
2001-01-01,2.878468,5.98,4984.9,0.4324836920601165
2001-10-01,3.484066,2.49,5301.2,0.5187508952872082
2002-04-01,3.465822,1.75,5534.0,0.5114024306978016
2002-07-01,3.263706,1.73,5539.7,0.49604364147019897
2003-09-01,2.174311,1.01,6072.4,0.6343866070947946
2003-12-01,1.967767,0.98,6086.3,0.5380319417770141
2004-03-01,2.126567,1.0,6112.5,0.5158466421981946
2004-11-01,2.293797,1.93,6356.4,0.5293410004090175
2005-08-01,2.256804,3.5,6528.3,0.4888817935092482
2006-05-01,2.778406,4.94,6783.7,0.5335593986662146
2007-01-01,3.136734,5.25,7127.8,0.5573763328089494
2007-10-01,2.494632,4.76,7346.7,0.5505909666525961
2008-09-01,3.071629,1.81,7722.8,0.5492387008766477
2008-12-01,2.614507,0.16,8090.7,0.5262016147287407
2009-06-01,2.078063,0.21,8433.7,0.5239790386700398
